Nama Perusahaan,Nama Kapal,Ukuran Kapal (GT),Tanggal Keberangkatan,Tanggal Kedatangan,Alat Penangkapan Ikan,Jenis Ikan,Estimasi Nakhoda (kg),Volume Ril (kg),Harga Acuan Ikan per Kg (Rp),Nilai Produksi (Rp),Besar Pungutan Hasil Perikanan
8,11,158,2024-06-14,2024-07-19,1,19,3500,5278,8500,44863000,54838900
8,11,158,2024-06-14,2024-07-19,1,16,150,235,7000,1645000,54838900
8,11,158,2024-06-14,2024-07-19,1,10,100,76,17000,1292000,54838900
10,16,95,2024-06-14,2024-07-19,1,21,250,250,22000,5500000,39547100
10,16,95,2024-06-14,2024-07-19,1,11,1250,1309,22000,28798000,39547100
10,16,95,2024-06-14,2024-07-19,1,3,37200,37166,9500,353077000,39547100
10,16,95,2024-06-14,2024-07-19,1,16,150,159,7000,1113000,39547100
10,16,95,2024-06-14,2024-07-19,1,10,300,299,17000,5083000,39547100
10,16,95,2024-06-14,2024-07-19,1,23,150,200,9500,1900000,39547100
4,18,149,2024-06-14,2024-07-19,0,3,4600,4642,9500,44099000,6688600
4,18,149,2024-06-14,2024-07-19,0,11,850,150,22000,3300000,6688600
4,18,149,2024-06-14,2024-07-19,0,21,150,853,22000,18766000,6688600
4,18,149,2024-06-14,2024-07-19,0,16,100,103,7000,721000,6688600
8,14,188,2024-08-04,2024-07-16,1,21,2650,1165,22000,25630000,101217700
8,14,188,2024-08-04,2024-07-16,1,11,2650,4429,22000,97438000,101217700
8,14,188,2024-08-04,2024-07-16,1,3,76000,86832,9500,824904000,101217700
8,14,188,2024-08-04,2024-07-16,1,19,5000,5518,8500,46903000,101217700
8,14,188,2024-08-04,2024-07-16,1,16,500,567,7000,3969000,101217700
8,14,188,2024-08-04,2024-07-16,1,10,200,202,17000,3434000,101217700
8,14,188,2024-08-04,2024-07-16,1,9,800,1042,9500,9899000,101217700
6,4,188,2024-04-06,2024-07-25,0,21,1100,481,22000,10582000,122952850
6,4,188,2024-04-06,2024-07-25,0,11,2100,4574,22000,100628000,122952850
6,4,188,2024-04-06,2024-07-25,0,3,104500,109523,9500,1040468500,122952850
6,4,188,2024-04-06,2024-07-25,0,19,1000,7827,8500,66529500,122952850
6,4,188,2024-04-06,2024-07-25,0,9,1300,411,9500,3904500,122952850
6,4,188,2024-04-06,2024-07-25,0,16,186,190,7000,1330000,122952850
6,4,188,2024-04-06,2024-07-25,0,10,340,358,17000,6086000,122952850
5,9,134,2024-07-17,2024-07-27,0,21,50,1581,22000,34782000,26095900
5,9,134,2024-07-17,2024-07-27,0,11,1850,256,22000,5632000,26095900
5,9,134,2024-07-17,2024-07-27,0,3,24000,21406,9500,203357000,26095900
5,9,134,2024-07-17,2024-07-27,0,19,1350,1553,8500,13200500,26095900
5,9,134,2024-07-17,2024-07-27,0,16,100,158,7000,1106000,26095900
5,9,134,2024-07-17,2024-07-27,0,10,100,103,17000,1751000,26095900
5,9,134,2024-07-17,2024-07-27,0,9,100,119,9500,1130500,26095900
5,20,129,2024-07-17,2024-07-27,0,21,50,1471,22000,32362000,29086600
5,20,129,2024-07-17,2024-07-27,0,11,1800,512,22000,11264000,29086600
5,20,129,2024-07-17,2024-07-27,0,3,21450,24662,9500,234289000,29086600
5,20,129,2024-07-17,2024-07-27,0,19,1550,1424,8500,12104000,29086600
5,20,129,2024-07-17,2024-07-27,0,16,150,121,7000,847000,29086600
5,24,133,2024-07-17,2024-07-27,1,3,25000,23195,9500,220352500,31590200
5,24,133,2024-07-17,2024-07-27,1,11,2000,941,22000,20702000,31590200
5,24,133,2024-07-17,2024-07-27,1,21,100,1601,22000,35222000,31590200
5,24,133,2024-07-17,2024-07-27,1,9,400,1922,9500,18259000,31590200
5,24,133,2024-07-17,2024-07-27,1,19,2250,2293,8500,19490500,31590200
5,24,133,2024-07-17,2024-07-27,1,16,100,115,7000,805000,31590200
5,24,133,2024-07-17,2024-07-27,1,10,50,63,17000,1071000,31590200
5,9,134,2024-04-07,2024-07-14,0,11,2000,1912,22000,42064000,30809200
5,9,134,2024-04-07,2024-07-14,0,3,25000,23340,9500,221730000,30809200
5,9,134,2024-04-07,2024-07-14,0,21,500,428,22000,9416000,30809200
5,9,134,2024-04-07,2024-07-14,0,9,1000,1010,9500,9595000,30809200
5,9,134,2024-04-07,2024-07-14,0,19,2500,2538,8500,21573000,30809200
5,9,134,2024-04-07,2024-07-14,0,16,150,159,7000,1113000,30809200
5,9,134,2024-04-07,2024-07-14,0,10,150,153,17000,2601000,30809200
5,24,133,2024-04-07,2024-07-14,1,3,20,20149,9500,191415500,21004950
5,24,133,2024-04-07,2024-07-14,1,11,500,534,22000,11748000,21004950
5,24,133,2024-04-07,2024-07-14,1,21,326,313,22000,6886000,21004950
5,20,129,2024-04-07,2024-07-14,0,11,1500,1515,22000,33330000,29542750
5,20,129,2024-04-07,2024-07-14,0,3,24100,24202,9500,229919000,29542750
5,20,129,2024-04-07,2024-07-14,0,19,2750,2877,8500,24454500,29542750
5,20,129,2024-04-07,2024-07-14,0,16,250,262,7000,1834000,29542750
5,20,129,2024-04-07,2024-07-14,0,9,600,620,9500,5890000,29542750
5,9,134,2024-03-19,2024-11-14,0,21,95,126,22000,2772000,43283100
5,9,134,2024-03-19,2024-11-14,0,11,1700,1896,22000,41712000,43283100
5,9,134,2024-03-19,2024-11-14,0,3,38830,39448,9500,374756000,43283100
5,9,134,2024-03-19,2024-11-14,0,18,980,1255,8500,10667500,43283100
5,9,134,2024-03-19,2024-11-14,0,16,47,89,7000,623000,43283100
5,9,134,2024-03-19,2024-11-14,0,10,45,61,17000,1037000,43283100
5,9,134,2024-03-19,2024-11-14,0,9,92,133,9500,1263500,43283100
0,22,70,2024-10-18,2024-01-11,2,11,205,206,22000,4532000,732600
0,22,70,2024-10-18,2024-01-11,2,21,140,127,22000,2794000,732600
5,21,58,2024-10-18,2024-01-11,2,11,132,125,22000,2750000,794200
5,21,58,2024-10-18,2024-01-11,2,21,600,597,22000,13134000,794200
5,21,58,2024-10-25,2024-06-11,2,21,70,76,22000,1672000,177400
5,21,58,2024-10-25,2024-06-11,2,22,70,67,28000,1876000,177400
0,22,70,2024-10-25,2024-06-11,2,11,70,64,22000,1408000,1777400
0,22,70,2024-10-25,2024-06-11,2,21,445,427,22000,9394000,1777400
0,22,70,2024-10-25,2024-06-11,2,22,278,249,28000,6972000,1777400
7,8,196,2024-04-10,2024-03-11,0,3,73000,73303,9500,696378500,81259600
7,8,196,2024-04-10,2024-03-11,0,11,1800,1834,22000,40348000,81259600
7,8,196,2024-04-10,2024-03-11,0,21,1200,1300,22000,28600000,81259600
7,8,196,2024-04-10,2024-03-11,0,9,2000,2075,9500,19712500,81259600
7,8,196,2024-04-10,2024-03-11,0,18,2200,2318,8500,19703000,81259600
7,8,196,2024-04-10,2024-03-11,0,10,450,462,17000,7854000,81259600
10,16,95,2024-04-10,2024-03-11,1,21,100,130,22000,2860000,23472050
10,16,95,2024-04-10,2024-03-11,1,11,1000,1070,22000,23540000,23472050
10,16,95,2024-04-10,2024-03-11,1,3,20000,20315,9500,192992500,23472050
10,16,95,2024-04-10,2024-03-11,1,18,600,726,8500,6171000,23472050
10,16,95,2024-04-10,2024-03-11,1,10,100,124,17000,2108000,23472050
10,16,95,2024-04-10,2024-03-11,1,9,700,742,9500,7049000,23472050
7,7,207,2024-04-10,2024-03-11,0,3,75000,73716,9500,700302000,86940250
7,7,207,2024-04-10,2024-03-11,0,11,2500,3803,22000,83666000,86940250
7,7,207,2024-04-10,2024-03-11,0,21,1000,1259,22000,27698000,86940250
7,7,207,2024-04-10,2024-03-11,0,18,2600,2978,8500,25313000,86940250
7,7,207,2024-04-10,2024-03-11,0,10,200,228,17000,3876000,86940250
7,7,207,2024-04-10,2024-03-11,0,9,2600,3005,9500,28547500,86940250
8,14,188,2024-09-10,2024-11-16,1,21,500,600,22000,13200000,75141600
8,14,188,2024-09-10,2024-11-16,1,11,2000,2144,22000,47168000,75141600
8,14,188,2024-09-10,2024-11-16,1,3,68000,68093,9500,646883500,75141600
8,14,188,2024-09-10,2024-11-16,1,18,1500,1596,8500,13566000,75141600
8,14,188,2024-09-10,2024-11-16,1,16,300,336,7000,2352000,75141600
8,14,188,2024-09-10,2024-11-16,1,10,500,521,17000,8857000,75141600
8,14,188,2024-09-10,2024-11-16,1,9,2000,2041,9500,19389500,75141600
8,11,158,2024-09-10,2024-11-16,1,21,1000,1115,22000,24530000,87313350
8,11,158,2024-09-10,2024-11-16,1,11,1000,2223,22000,48906000,87313350
8,11,158,2024-09-10,2024-11-16,1,3,65000,77014,9500,731633000,87313350
8,11,158,2024-09-10,2024-11-16,1,18,1500,2424,8500,20604000,87313350
8,11,158,2024-09-10,2024-11-16,1,16,300,511,7000,3577000,87313350
8,11,158,2024-09-10,2024-11-16,1,10,200,502,17000,8534000,87313350
8,11,158,2024-09-10,2024-11-16,1,9,2000,3721,9500,35349500,87313350
10,16,95,2024-09-10,2024-11-16,1,11,500,542,22000,11924000,14528700
10,16,95,2024-09-10,2024-11-16,1,3,10000,10453,9500,99303500,14528700
10,16,95,2024-09-10,2024-11-16,1,18,300,426,8500,3621000,14528700
10,16,95,2024-09-10,2024-11-16,1,10,50,52,17000,884000,14528700
10,16,95,2024-09-10,2024-11-16,1,9,3000,3111,9500,29554500,14528700
10,12,198,2024-09-10,2024-11-16,0,21,800,830,22000,18260000,67540500
10,12,198,2024-09-10,2024-11-16,0,11,2000,2015,22000,44330000,67540500
10,12,198,2024-09-10,2024-11-16,0,3,61000,61277,9500,582131500,67540500
10,12,198,2024-09-10,2024-11-16,0,16,200,212,7000,1484000,67540500
10,12,198,2024-09-10,2024-11-16,0,10,300,311,17000,5287000,67540500
10,12,198,2024-09-10,2024-11-16,0,9,1500,1532,9500,14554000,67540500
10,12,198,2024-09-10,2024-11-16,0,18,1000,1101,8500,9358500,67540500
7,7,207,2024-09-10,2024-11-16,0,3,5800,6143,9500,58358500,7855100
7,7,207,2024-09-10,2024-11-16,0,11,500,615,22000,13530000,7855100
7,7,207,2024-09-10,2024-11-16,0,18,200,235,8500,1997500,7855100
7,7,207,2024-09-10,2024-11-16,0,9,200,278,9500,2641000,7855100
7,7,207,2024-09-10,2024-11-16,0,16,50,73,7000,511000,7855100
7,7,207,2024-09-10,2024-11-16,0,10,80,89,17000,1513000,7855100
0,22,70,2024-11-20,2024-11-30,2,11,150,157,22000,3454000,692450
0,22,70,2024-11-20,2024-11-30,2,21,135,124,22000,2728000,692450
0,22,70,2024-11-20,2024-11-30,2,7,45,33,22500,742500,692450
5,21,58,2024-11-20,2024-11-30,2,11,100,95,22000,2090000,576400
5,21,58,2024-11-20,2024-11-30,2,21,430,429,22000,9438000,576400
5,21,58,2024-11-13,2024-11-22,2,11,150,143,22000,3146000,1229900
5,21,58,2024-11-13,2024-11-22,2,21,540,508,22000,11176000,1229900
5,21,58,2024-11-13,2024-11-22,2,22,400,367,28000,10276000,1229900
0,22,70,2024-11-13,2024-11-22,2,11,75,77,22000,1694000,961200
0,22,70,2024-11-13,2024-11-22,2,21,290,281,22000,6182000,961200
0,22,70,2024-11-13,2024-11-22,2,22,65,62,28000,1736000,961200
9,23,138,2024-12-11,2024-11-20,1,11,500,621,22000,13662000,20742000
9,23,138,2024-12-11,2024-11-20,1,3,18600,18804,9500,178638000,20742000
9,23,138,2024-12-11,2024-11-20,1,18,1000,1113,8500,9460500,20742000
9,23,138,2024-12-11,2024-11-20,1,16,150,185,7000,1295000,20742000
9,23,138,2024-12-11,2024-11-20,1,10,30,55,17000,935000,20742000
9,23,138,2024-12-11,2024-11-20,1,9,300,361,9500,3429500,20742000
9,0,145,2024-12-11,2024-11-20,1,3,32000,32416,9500,307952000,32479400
9,0,145,2024-12-11,2024-11-20,1,11,500,613,22000,13486000,32479400
9,0,145,2024-12-11,2024-11-20,1,16,100,174,7000,1218000,32479400
9,0,145,2024-12-11,2024-11-20,1,10,30,74,17000,1258000,32479400
9,0,145,2024-12-11,2024-11-20,1,17,30,40,22000,880000,32479400
9,17,173,2024-12-11,2024-11-20,1,11,1000,1116,22000,24552000,24700250
9,17,173,2024-12-11,2024-11-20,1,3,22700,23235,9500,220732500,24700250
9,17,173,2024-12-11,2024-11-20,1,16,50,73,7000,511000,24700250
9,17,173,2024-12-11,2024-11-20,1,10,40,71,17000,1207000,24700250
9,19,181,2024-10-31,2024-08-11,1,3,30000,30420,9500,288990000,34561200
9,19,181,2024-10-31,2024-08-11,1,11,1000,1151,22000,25322000,34561200
9,19,181,2024-10-31,2024-08-11,1,21,1000,1058,22000,23276000,34561200
9,19,181,2024-10-31,2024-08-11,1,9,200,238,9500,2261000,34561200
9,19,181,2024-10-31,2024-08-11,1,10,300,339,17000,5763000,34561200
9,0,145,2024-10-31,2024-08-11,1,3,32000,32517,9500,308911500,36778400
9,0,145,2024-10-31,2024-08-11,1,11,500,655,22000,14410000,36778400
9,0,145,2024-10-31,2024-08-11,1,21,1500,1562,22000,34364000,36778400
9,0,145,2024-10-31,2024-08-11,1,9,300,359,9500,3410500,36778400
9,0,145,2024-10-31,2024-08-11,1,16,200,239,7000,1673000,36778400
9,0,145,2024-10-31,2024-08-11,1,10,250,295,17000,5015000,36778400
0,22,70,2024-10-31,2024-08-11,2,0,2000,2355,18000,42390000,11081290
0,22,70,2024-10-31,2024-08-11,2,7,250,303,22500,6817500,11081290
0,22,70,2024-10-31,2024-08-11,2,3,250,393,9500,3733500,11081290
0,22,70,2024-10-31,2024-08-11,2,17,300,375,22000,8250000,11081290
0,22,70,2024-10-31,2024-08-11,2,2,150,263,20600,5417800,11081290
0,22,70,2024-10-31,2024-08-11,2,13,150,336,11800,3964800,11081290
0,22,70,2024-10-31,2024-08-11,2,14,1600,1674,21100,35321400,11081290
0,22,70,2024-10-31,2024-08-11,2,4,270,291,16900,4917900,11081290
5,21,58,2024-10-31,2024-08-11,2,0,2025,2226,18000,40068000,4861240
5,21,58,2024-10-31,2024-08-11,2,4,375,391,16900,6607900,4861240
5,21,58,2024-10-31,2024-08-11,2,3,200,211,9500,2004500,4861240
5,21,58,2024-10-31,2024-08-11,2,2,200,206,20600,4243600,4861240
5,21,58,2024-10-31,2024-08-11,2,7,300,397,22500,8932500,4861240
5,21,58,2024-10-31,2024-08-11,2,14,1170,1187,21100,25045700,4861240
5,21,58,2024-10-31,2024-08-11,2,13,150,157,11800,1852600,4861240
5,21,58,2024-10-31,2024-08-11,2,17,300,385,22000,8470000,4861240
9,19,181,2024-12-11,2024-11-24,1,11,1500,1620,22000,35640000,31466800
9,19,181,2024-12-11,2024-11-24,1,3,28000,28278,9500,268641000,31466800
9,19,181,2024-12-11,2024-11-24,1,18,1000,1222,8500,10387000,31466800
11,5,138,2024-12-11,2024-11-24,0,3,28000,28166,9500,267577000,31232550
11,5,138,2024-12-11,2024-11-24,0,11,1500,1655,22000,36410000,31232550
11,5,138,2024-12-11,2024-11-24,0,9,100,231,9500,2194500,31232550
11,5,138,2024-12-11,2024-11-24,0,16,50,52,7000,364000,31232550
11,5,138,2024-12-11,2024-11-24,0,18,500,618,8500,5253000,31232550
11,5,138,2024-12-11,2024-11-24,0,10,20,31,17000,527000,31232550
1,6,149,2024-12-11,2024-11-24,0,11,2500,2618,22000,57596000,37670450
1,6,149,2024-12-11,2024-11-24,0,3,32000,32986,9500,313367000,37670450
1,6,149,2024-12-11,2024-11-24,0,16,100,123,7000,861000,37670450
1,6,149,2024-12-11,2024-11-24,0,10,30,42,17000,714000,37670450
1,6,149,2024-12-11,2024-11-24,0,9,200,231,9500,2194500,37670450
1,6,149,2024-12-11,2024-11-24,0,18,200,232,8500,1972000,37670450
6,3,126,2024-12-11,2024-11-24,1,11,2500,2511,22000,55242000,41105000
6,3,126,2024-12-11,2024-11-24,1,3,35000,36182,9500,343729000,41105000
6,3,126,2024-12-11,2024-11-24,1,16,100,100,7000,700000,41105000
6,3,126,2024-12-11,2024-11-24,1,10,50,50,17000,850000,41105000
6,3,126,2024-12-11,2024-11-24,1,9,200,210,9500,1995000,41105000
6,3,126,2024-12-11,2024-11-24,1,18,1000,1004,8500,8534000,41105000
5,20,129,2024-12-11,2024-11-24,0,3,11000,10993,9500,104433500,12050150
5,20,129,2024-12-11,2024-11-24,0,11,500,584,22000,12848000,12050150
5,20,129,2024-12-11,2024-11-24,0,9,100,177,9500,1681500,12050150
5,20,129,2024-12-11,2024-11-24,0,18,100,181,8500,1538500,12050150
3,1,183,2024-12-11,2024-11-24,1,11,2500,2558,22000,56276000,43323750
3,1,183,2024-12-11,2024-11-24,1,3,38000,38256,9500,363432000,43323750
3,1,183,2024-12-11,2024-11-24,1,16,100,128,7000,896000,43323750
3,1,183,2024-12-11,2024-11-24,1,10,50,61,17000,1037000,43323750
3,1,183,2024-12-11,2024-11-24,1,9,200,215,9500,2042500,43323750
3,1,183,2024-12-11,2024-11-24,1,18,1000,1124,8500,9554000,43323750
5,20,129,2024-04-20,2024-08-24,0,21,600,640,22000,14080000,48764500
5,20,129,2024-04-20,2024-08-24,0,11,1200,2566,22000,56452000,48764500
5,20,129,2024-04-20,2024-08-24,0,3,38750,43089,9500,409345500,48764500
5,20,129,2024-04-20,2024-08-24,0,9,500,625,9500,5937500,48764500
5,20,129,2024-04-20,2024-08-24,0,10,45,50,17000,850000,48764500
5,20,129,2024-04-20,2024-08-24,0,16,139,140,7000,980000,48764500
6,4,188,2024-08-20,2024-08-30,0,21,300,331,22000,7282000,63912100
6,4,188,2024-08-20,2024-08-30,0,11,4325,4358,22000,95876000,63912100
6,4,188,2024-08-20,2024-08-30,0,3,52190,52577,9500,499481500,63912100
6,4,188,2024-08-20,2024-08-30,0,16,320,353,7000,2471000,63912100
6,4,188,2024-08-20,2024-08-30,0,10,230,237,17000,4029000,63912100
6,4,188,2024-08-20,2024-08-30,0,9,500,512,9500,4864000,63912100
6,4,188,2024-08-20,2024-08-30,0,18,2950,2955,8500,25117500,63912100
11,10,134,2024-08-20,2024-08-30,0,21,180,198,22000,4356000,24315100
11,10,134,2024-08-20,2024-08-30,0,11,2425,2439,22000,53658000,24315100
11,10,134,2024-08-20,2024-08-30,0,3,17550,17896,9500,170012000,24315100
11,10,134,2024-08-20,2024-08-30,0,16,100,118,7000,826000,24315100
11,10,134,2024-08-20,2024-08-30,0,10,80,83,17000,1411000,24315100
11,10,134,2024-08-20,2024-08-30,0,9,120,138,9500,1311000,24315100
11,10,134,2024-08-20,2024-08-30,0,18,1350,1362,8500,11577000,24315100
5,9,134,2024-08-15,2024-08-27,0,3,31500,32283,9500,306688500,35554450
5,9,134,2024-08-15,2024-08-27,0,11,1000,1112,22000,24464000,35554450
5,9,134,2024-08-15,2024-08-27,0,9,500,521,9500,4949500,35554450
5,9,134,2024-08-15,2024-08-27,0,18,2000,2121,8500,18028500,35554450
5,9,134,2024-08-15,2024-08-27,0,16,200,202,7000,1414000,35554450
6,3,126,2024-08-15,2024-08-27,1,11,1000,1058,22000,23276000,25421950
6,3,126,2024-08-15,2024-08-27,1,3,21900,21982,9500,208829000,25421950
6,3,126,2024-08-15,2024-08-27,1,16,100,142,7000,994000,25421950
6,3,126,2024-08-15,2024-08-27,1,9,500,712,9500,6764000,25421950
6,3,126,2024-08-15,2024-08-27,1,18,1500,1689,8500,14356500,25421950
6,15,198,2024-08-15,2024-08-27,0,3,40000,42703,9500,405678500,47877150
6,15,198,2024-08-15,2024-08-27,0,11,1500,1552,22000,34144000,47877150
6,15,198,2024-08-15,2024-08-27,0,9,1500,1582,9500,15029000,47877150
6,15,198,2024-08-15,2024-08-27,0,18,2500,2558,8500,21743000,47877150
6,15,198,2024-08-15,2024-08-27,0,16,300,311,7000,2177000,47877150
11,5,138,2024-08-15,2024-08-27,0,3,37300,37803,9500,359128500,43314350
11,5,138,2024-08-15,2024-08-27,0,11,1500,1615,22000,35530000,43314350
11,5,138,2024-08-15,2024-08-27,0,9,1000,1112,9500,10564000,43314350
11,5,138,2024-08-15,2024-08-27,0,18,3000,3102,8500,26367000,43314350
11,5,138,2024-08-15,2024-08-27,0,16,200,222,7000,1554000,43314350
3,1,183,2024-08-15,2024-08-27,0,3,34000,34240,9500,325280000,40998300
3,1,183,2024-08-15,2024-08-27,0,11,2000,2236,22000,49192000,40998300
3,1,183,2024-08-15,2024-08-27,0,18,2000,2224,8500,18904000,40998300
3,1,183,2024-08-15,2024-08-27,0,9,1500,1516,9500,14402000,40998300
3,1,183,2024-08-15,2024-08-27,0,16,300,315,7000,2205000,40998300
5,9,134,2024-07-31,2024-08-13,0,11,3500,3303,22000,72666000,31725150
5,9,134,2024-07-31,2024-08-13,0,3,20600,21214,9500,201533000,31725150
5,9,134,2024-07-31,2024-08-13,0,19,2500,3205,8500,27242500,31725150
5,9,134,2024-07-31,2024-08-13,0,16,250,263,7000,1841000,31725150
5,9,134,2024-07-31,2024-08-13,0,10,150,169,17000,2873000,31725150
5,9,134,2024-07-31,2024-08-13,0,9,600,684,9500,6498000,31725150
5,9,134,2024-07-31,2024-08-13,0,21,210,209,22000,4598000,31725150
5,24,133,2024-07-31,2024-08-13,1,3,40500,40810,9500,387695000,63475350
5,24,133,2024-07-31,2024-08-13,1,11,5500,5612,22000,123464000,63475350
5,24,133,2024-07-31,2024-08-13,1,21,3500,3703,22000,81466000,63475350
5,24,133,2024-07-31,2024-08-13,1,19,2870,2709,8500,23026500,63475350
5,24,133,2024-07-31,2024-08-13,1,16,1300,1398,7000,9786000,63475350
5,24,133,2024-07-31,2024-08-13,1,10,500,548,17000,9316000,63475350
3,1,183,2024-07-26,2024-10-08,1,3,43000,43607,9500,414266500,53485600
3,1,183,2024-07-26,2024-10-08,1,21,3000,3022,22000,66484000,53485600
3,1,183,2024-07-26,2024-10-08,1,18,5500,5534,8500,47039000,53485600
3,1,183,2024-07-26,2024-10-08,1,9,500,581,9500,5519500,53485600
3,1,183,2024-07-26,2024-10-08,1,16,200,221,7000,1547000,53485600
11,5,138,2024-07-26,2024-10-08,0,3,13000,13539,9500,128620500,16358200
11,5,138,2024-07-26,2024-10-08,0,21,1000,1023,22000,22506000,16358200
11,5,138,2024-07-26,2024-10-08,0,9,200,239,9500,2270500,16358200
11,5,138,2024-07-26,2024-10-08,0,19,1000,1092,8500,9282000,16358200
11,5,138,2024-07-26,2024-10-08,0,16,100,129,7000,903000,16358200
6,2,126,2024-07-26,2024-10-08,1,3,28000,28155,9500,267472500,33890200
6,2,126,2024-07-26,2024-10-08,1,21,1500,1724,22000,37928000,33890200
6,2,126,2024-07-26,2024-10-08,1,9,500,613,9500,5823500,33890200
6,2,126,2024-07-26,2024-10-08,1,19,3000,3066,8500,26061000,33890200
6,2,126,2024-07-26,2024-10-08,1,16,200,231,7000,1617000,33890200
6,15,198,2024-07-26,2024-10-08,0,3,51500,51695,9500,491102500,61383650
6,15,198,2024-07-26,2024-10-08,0,21,2800,2863,22000,62986000,61383650
6,15,198,2024-07-26,2024-10-08,0,9,400,534,9500,5073000,61383650
6,15,198,2024-07-26,2024-10-08,0,19,6000,6154,8500,52309000,61383650
6,15,198,2024-07-26,2024-10-08,0,16,300,338,7000,2366000,61383650
5,20,129,2024-07-26,2024-10-08,0,3,27000,27285,9500,259207500,33374950
5,20,129,2024-07-26,2024-10-08,0,21,2000,2122,22000,46684000,33374950
5,20,129,2024-07-26,2024-10-08,0,9,300,371,9500,3524500,33374950
5,20,129,2024-07-26,2024-10-08,0,19,2500,2759,8500,23451500,33374950
5,20,129,2024-07-26,2024-10-08,0,16,100,126,7000,882000,33374950
11,10,134,2024-04-09,2024-09-14,0,21,225,246,22000,5412000,27796300
11,10,134,2024-04-09,2024-09-14,0,11,900,928,22000,20416000,27796300
11,10,134,2024-04-09,2024-09-14,0,3,25750,26031,9500,247294500,27796300
11,10,134,2024-04-09,2024-09-14,0,16,250,283,7000,1981000,27796300
11,10,134,2024-04-09,2024-09-14,0,9,250,301,9500,2859500,27796300
6,3,126,2024-04-09,2024-09-14,1,21,225,243,22000,5346000,55282000
6,3,126,2024-04-09,2024-09-14,1,11,2100,2272,22000,49984000,55282000
6,3,126,2024-04-09,2024-09-14,1,3,48400,49056,9500,466032000,55282000
6,3,126,2024-04-09,2024-09-14,1,18,2700,2758,8500,23443000,55282000
6,3,126,2024-04-09,2024-09-14,1,16,250,261,7000,1827000,55282000
6,3,126,2024-04-09,2024-09-14,1,10,200,212,17000,3604000,55282000
6,3,126,2024-04-09,2024-09-14,1,9,250,272,9500,2584000,55282000
6,4,188,2024-09-20,2024-09-29,0,3,68500,68625,9500,651937500,80746450
6,4,188,2024-09-20,2024-09-29,0,16,350,390,7000,2730000,80746450
6,4,188,2024-09-20,2024-09-29,0,10,500,506,17000,8602000,80746450
6,4,188,2024-09-20,2024-09-29,0,9,200,388,9500,3686000,80746450
6,4,188,2024-09-20,2024-09-29,0,5,70,85,7800,663000,80746450
6,4,188,2024-09-20,2024-09-29,0,18,10000,10044,8500,85374000,80746450
6,4,188,2024-09-20,2024-09-29,0,11,2000,2476,22000,54472000,80746450
5,9,134,2024-04-09,2024-09-18,0,3,30000,30611,9500,290804500,35508950
5,9,134,2024-04-09,2024-09-18,0,18,300,351,8500,2983500,35508950
5,9,134,2024-04-09,2024-09-18,0,9,100,159,9500,1510500,35508950
5,9,134,2024-04-09,2024-09-18,0,21,2500,2666,22000,58652000,35508950
5,9,134,2024-04-09,2024-09-18,0,10,50,67,17000,1139000,35508950
11,5,138,2024-04-09,2024-09-18,0,3,32000,32475,9500,308512500,36202150
11,5,138,2024-04-09,2024-09-18,0,18,500,529,8500,4496500,36202150
11,5,138,2024-04-09,2024-09-18,0,9,150,165,9500,1567500,36202150
11,5,138,2024-04-09,2024-09-18,0,21,2000,2111,22000,46442000,36202150
11,5,138,2024-04-09,2024-09-18,0,10,50,59,17000,1003000,36202150
6,15,198,2024-04-09,2024-09-18,0,3,39000,39344,9500,373768000,45541100
6,15,198,2024-04-09,2024-09-18,0,11,354,320,22000,7040000,45541100
6,15,198,2024-04-09,2024-09-18,0,21,3000,3112,22000,68464000,45541100
6,15,198,2024-04-09,2024-09-18,0,16,100,146,7000,1022000,45541100
6,15,198,2024-04-09,2024-09-18,0,18,600,602,8500,5117000,45541100
5,24,133,2024-04-09,2024-09-18,1,3,45000,45596,9500,433162000,49808850
5,24,133,2024-04-09,2024-09-18,1,18,500,613,8500,5210500,49808850
5,24,133,2024-04-09,2024-09-18,1,16,100,105,7000,735000,49808850
5,24,133,2024-04-09,2024-09-18,1,9,150,162,9500,1539000,49808850
5,24,133,2024-04-09,2024-09-18,1,11,2500,2611,22000,57442000,49808850
3,1,183,2024-04-09,2024-09-18,1,3,24200,24820,9500,235790000,27016500
3,1,183,2024-04-09,2024-09-18,1,18,500,616,8500,5236000,27016500
3,1,183,2024-04-09,2024-09-18,1,16,200,231,7000,1617000,27016500
3,1,183,2024-04-09,2024-09-18,1,21,1500,1251,22000,27522000,27016500
11,10,134,2024-02-07,2024-09-25,0,11,1015,1294,22000,28468000,36172650
11,10,134,2024-02-07,2024-09-25,0,3,29875,34133,9500,324263500,36172650
11,10,134,2024-02-07,2024-09-25,0,9,592,608,9500,5776000,36172650
11,10,134,2024-02-07,2024-09-25,0,16,67,58,7000,406000,36172650
11,10,134,2024-02-07,2024-09-25,0,10,30,27,17000,459000,36172650
11,10,134,2024-02-07,2024-09-25,0,21,115,107,22000,2354000,36172650
6,3,126,2024-06-23,2024-10-20,1,11,400,515,22000,11330000,40050450
6,3,126,2024-06-23,2024-10-20,1,3,40250,40553,9500,385253500,40050450
6,3,126,2024-06-23,2024-10-20,1,16,150,229,7000,1603000,40050450
6,3,126,2024-06-23,2024-10-20,1,9,200,244,9500,2318000,40050450
